nodes	nodes2	type
64805	P2RY12	Gene
5724	PTAFR	Gene
1880	GPR183	Gene
10887	PROKR1	Gene
1816	DRD5	Gene
50834	TAS2R1	Gene
6870	TACR3	Gene
5028	P2RY1	Gene
7480	WNT10B	Gene
83756	TAS1R3	Gene
9283	GPR37L1	Gene
147	ADRA1B	Gene
136	ADORA2B	Gene
3814	KISS1	Gene
2861	GPR37	Gene
2492	FSHR	Gene
7200	TRH	Gene
1901	S1PR1	Gene
2358	FPR2	Gene
2357	FPR1	Gene
117579	RLN3	Gene
8862	APLN	Gene
59350	RXFP1	Gene
23566	LPAR3	Gene
5734	PTGER4	Gene
10316	NMUR1	Gene
5031	P2RY6	Gene
719	C3AR1	Gene
146	ADRA1D	Gene
2783	GNB2	Gene
55970	GNG12	Gene
10022	INSL5	Gene
339403	RXFP4	Gene
10800	CYSLTR1	Gene
6288	SAA1	Gene
222545	GPRC6A	Gene
80835	TAS1R1	Gene
2787	GNG5	Gene
7201	TRHR	Gene
1240	CMKLR1	Gene
8322	FZD4	Gene
2015	ADGRE1	Gene
9934	P2RY14	Gene
5029	P2RY2	Gene
797	CALCB	Gene
4161	MC5R	Gene
2788	GNG7	Gene
8325	FZD8	Gene
2828	GPR4	Gene
3350	HTR1A	Gene
114131	UCN3	Gene
2859	GPR35	Gene
80834	TAS1R2	Gene
3355	HTR1F	Gene
3352	HTR1D	Gene
122876	GPHB5	Gene
2918	GRM8	Gene
151306	GPBAR1	Gene
2147	F2	Gene
10692	RRH	Gene
2535	FZD2	Gene
6752	SSTR2	Gene
1132	CHRM4	Gene
53637	S1PR5	Gene
186	AGTR2	Gene
5021	OXTR	Gene
1129	CHRM2	Gene
2149	F2R	Gene
5179	PENK	Gene
2837	UTS2R	Gene
53829	P2RY13	Gene
51289	RXFP3	Gene
8811	GALR2	Gene
338442	HCAR2	Gene
11251	PTGDR2	Gene
5367	PMCH	Gene
29933	GPR132	Gene
2831	NPBWR1	Gene
2863	GPR39	Gene
283869	NPW	Gene
256933	NPB	Gene
152	ADRA2C	Gene
57121	LPAR5	Gene
1812	DRD1	Gene
1133	CHRM5	Gene
4887	NPY2R	Gene
4158	MC2R	Gene
2865	FFAR3	Gene
338398	TAS2R60	Gene
5727	PTCH1	Gene
353164	TAS2R42	Gene
338557	FFAR4	Gene
54331	GNG2	Gene
84109	QRFPR	Gene
5030	P2RY4	Gene
885	CCK	Gene
387129	NPSR1	Gene
2359	FPR3	Gene
7477	WNT7B	Gene
347148	QRFP	Gene
8326	FZD9	Gene
155	ADRB3	Gene
1269	CNR2	Gene
257313	UTS2B	Gene
2917	GRM7	Gene
1604	CD55	Gene
3269	HRH1	Gene
27198	HCAR1	Gene
728	C5AR1	Gene
4828	NMB	Gene
5660	PSAP	Gene
3792	KEL	Gene
553	AVPR1B	Gene
1902	LPAR1	Gene
2913	GRM3	Gene
56670	SUCNR1	Gene
5540	NPY4R	Gene
129521	NMS	Gene
2550	GABBR1	Gene
259294	TAS2R19	Gene
259296	TAS2R50	Gene
50840	TAS2R14	Gene
50838	TAS2R13	Gene
2532	ACKR1	Gene
1903	S1PR3	Gene
1241	LTB4R	Gene
56413	LTB4R2	Gene
594857	NPS	Gene
2642	GCGR	Gene
259287	TAS2R41	Gene
259286	TAS2R40	Gene
259292	TAS2R46	Gene
259285	TAS2R39	Gene
134860	TAAR9	Gene
1325	CORT	Gene
2790	GNG10	Gene
5032	P2RY11	Gene
3640	INSL3	Gene
259289	TAS2R43	Gene
8843	HCAR3	Gene
259295	TAS2R20	Gene
259293	TAS2R30	Gene
259290	TAS2R31	Gene
5726	TAS2R38	Gene
4157	MC1R	Gene
9294	S1PR2	Gene
2652	OPN1MW	Gene
151	ADRA2B	Gene
6753	SSTR3	Gene
140	ADORA3	Gene
5577	PRKAR2B	Gene
728642	CDK11A	Gene
27175	TUBG2	Gene
8481	OFD1	Gene
10806	SDCCAG8	Gene
4659	PPP1R12A	Gene
5566	PRKACA	Gene
3161	HMMR	Gene
23291	FBXW11	Gene
113457	TUBA3D	Gene
4660	PPP1R12B	Gene
5108	PCM1	Gene
3320	HSP90AA1	Gene
6790	AURKA	Gene
22974	TPX2	Gene
54930	HAUS4	Gene
3326	HSP90AB1	Gene
22981	NINL	Gene
81027	TUBB1	Gene
79959	CEP76	Gene
55125	CEP192	Gene
9738	CCP110	Gene
22995	CEP152	Gene
10382	TUBB4A	Gene
95681	CEP41	Gene
22897	CEP164	Gene
2305	FOXM1	Gene
55722	CEP72	Gene
80321	CEP70	Gene
7840	ALMS1	Gene
4751	NEK2	Gene
11064	CNTRL	Gene
10133	OPTN	Gene
10376	TUBA1B	Gene
11190	CEP250	Gene
10426	TUBGCP3	Gene
7277	TUBA4A	Gene
10142	AKAP9	Gene
85378	TUBGCP6	Gene
84962	AJUBA	Gene
10844	TUBGCP2	Gene
93323	HAUS8	Gene
7283	TUBG1	Gene
79866	BORA	Gene
4957	ODF2	Gene
55755	CDK5RAP2	Gene
11258	DCTN3	Gene
7280	TUBB2A	Gene
347733	TUBB2B	Gene
55142	HAUS2	Gene
27229	TUBGCP4	Gene
10121	ACTR1A	Gene
22822	PHLDA1	Gene
121441	NEDD1	Gene
1453	CSNK1D	Gene
22994	CEP131	Gene
10733	PLK4	Gene
29922	NME7	Gene
1069	CETN2	Gene
54801	HAUS6	Gene
84131	CEP78	Gene
55835	CENPJ	Gene
80097	MZT2B	Gene
112714	TUBA3E	Gene
115106	HAUS1	Gene
80028	FBXL18	Gene
5116	PCNT	Gene
9702	CEP57	Gene
8945	BTRC	Gene
4218	RAB8A	Gene
7846	TUBA1A	Gene
84790	TUBA1C	Gene
653784	MZT2A	Gene
9662	CEP135	Gene
10540	DCTN2	Gene
84617	TUBB6	Gene
8636	SSNA1	Gene
79861	TUBAL3	Gene
80254	CEP63	Gene
203068	TUBB	Gene
23194	FBXL7	Gene
51807	TUBA8	Gene
10383	TUBB4B	Gene
7278	TUBA3C	Gene
9814	SFI1	Gene
80184	CEP290	Gene
63943	FKBPL	Gene
1639	DCTN1	Gene
440145	MZT1	Gene
51451	LCMT1	Gene
11116	FGFR1OP	Gene
55559	HAUS7	Gene
5500	PPP1CB	Gene
1454	CSNK1E	Gene
79441	HAUS3	Gene
51400	PPME1	Gene
80086	TUBA4B	Gene
984	CDK11B	Gene
23354	HAUS5	Gene
10381	TUBB3	Gene
347688	TUBB8	Gene
114791	TUBGCP5	Gene
9837	GINS1	Gene
51659	GINS2	Gene
84296	GINS4	Gene
64785	GINS3	Gene
9846	GAB2	Gene
535	ATP6V0A1	Gene
51606	ATP6V1H	Gene
2263	FGFR2	Gene
2261	FGFR3	Gene
2255	FGF10	Gene
27006	FGF22	Gene
537	ATP6AP1	Gene
2249	FGF4	Gene
2260	FGFR1	Gene
5289	PIK3C3	Gene
26281	FGF20	Gene
51382	ATP6V1D	Gene
57761	TRIB3	Gene
2254	FGF9	Gene
50617	ATP6V0A4	Gene
2887	GRB10	Gene
2253	FGF8	Gene
10312	TCIRG1	Gene
2251	FGF6	Gene
2246	FGF1	Gene
8992	ATP6V0E1	Gene
523	ATP6V1A	Gene
525	ATP6V1B1	Gene
533	ATP6V0B	Gene
8074	FGF23	Gene
9296	ATP6V1F	Gene
529	ATP6V1E1	Gene
9365	KL	Gene
152831	KLB	Gene
9550	ATP6V1G1	Gene
2250	FGF5	Gene
2247	FGF2	Gene
2252	FGF7	Gene
245973	ATP6V1C2	Gene
526	ATP6V1B2	Gene
245972	ATP6V0D2	Gene
127124	ATP6V1G3	Gene
5140	PDE3B	Gene
528	ATP6V1C1	Gene
8817	FGF18	Gene
8822	FGF17	Gene
117145	THEM4	Gene
9114	ATP6V0D1	Gene
2264	FGFR4	Gene
9965	FGF19	Gene
3643	INSR	Gene
155066	ATP6V0E2	Gene
23545	ATP6V0A2	Gene
527	ATP6V0C	Gene
2248	FGF3	Gene
30849	PIK3R4	Gene
8823	FGF16	Gene
534	ATP6V1G2	Gene
54106	TLR9	Gene
90423	ATP6V1E2	Gene
3630	INS	Gene
56852	RAD18	Gene
57599	WDR48	Gene
7320	UBE2B	Gene
8451	CUL4A	Gene
51514	DTL	Gene
8450	CUL4B	Gene
7398	USP1	Gene
1642	DDB1	Gene
331	XIAP	Gene
22900	CARD8	Gene
55075	UACA	Gene
51074	APIP	Gene
840	CASP7	Gene
57099	AVEN	Gene
56616	DIABLO	Gene
578	BAK1	Gene
5414	SEPTIN4	Gene
1385	CREB1	Gene
2308	FOXO1	Gene
6199	RPS6KB2	Gene
4303	FOXO4	Gene
100132074	FOXO6	Gene
25937	WWTR1	Gene
23327	NEDD4L	Gene
905	CCNT2	Gene
8812	CCNK	Gene
5494	PPM1A	Gene
4092	SMAD7	Gene
23439	ATP1B4	Gene
64750	SMURF2	Gene
7323	UBE2D3	Gene
892	CCNC	Gene
60436	TGIF2	Gene
8239	USP9X	Gene
904	CCNT1	Gene
1024	CDK8	Gene
4221	MEN1	Gene
6498	SKIL	Gene
1025	CDK9	Gene
54778	RNF111	Gene
6497	SKI	Gene
3726	JUNB	Gene
7050	TGIF1	Gene
6667	SP1	Gene
51592	TRIM33	Gene
2534	FYN	Gene
2065	ERBB3	Gene
2931	GSK3A	Gene
374	AREG	Gene
1839	HBEGF	Gene
942	CD86	Gene
6801	STRN	Gene
79109	MAPKAP1	Gene
941	CD80	Gene
2069	EREG	Gene
5880	RAC2	Gene
7409	VAV1	Gene
118788	PIK3AP1	Gene
3084	NRG1	Gene
9542	NRG2	Gene
50852	TRAT1	Gene
29851	ICOS	Gene
253260	RICTOR	Gene
64223	MLST8	Gene
145957	NRG4	Gene
685	BTC	Gene
391	RHOG	Gene
930	CD19	Gene
940	CD28	Gene
2066	ERBB4	Gene
255324	EPGN	Gene
3932	LCK	Gene
10718	NRG3	Gene
55615	PRR5	Gene
2475	MTOR	Gene
84335	AKT1S1	Gene
8483	CILP	Gene
3480	IGF1R	Gene
3481	IGF2	Gene
23063	WAPL	Gene
23047	PDS5B	Gene
23244	PDS5A	Gene
114799	ESCO1	Gene
113130	CDCA5	Gene
157570	ESCO2	Gene
23383	MAU2	Gene
25836	NIPBL	Gene
94239	H2AZ2	Gene
3021	H3-3B	Gene
3020	H3-3A	Gene
3490	IGFBP7	Gene
3015	H2AZ1	Gene
2353	FOS	Gene
1051	CEBPB	Gene
8334	H2AC6	Gene
79813	EHMT1	Gene
653604	H3C13	Gene
8338	H2AC20	Gene
3013	H2AC7	Gene
8356	H3C12	Gene
8351	H3C4	Gene
126961	H3C14	Gene
8337	H2AC18	Gene
333932	H3C15	Gene
10919	EHMT2	Gene
55766	H2AJ	Gene
723790	H2AC19	Gene
8355	H3C8	Gene
474382	H2AB1	Gene
8353	H3C6	Gene
8354	H3C11	Gene
8350	H3C1	Gene
8331	H2AC14	Gene
3012	H2AC8	Gene
8968	H3C7	Gene
8335	H2AC4	Gene
8357	H3C10	Gene
22955	SCMH1	Gene
51564	HDAC7	Gene
6672	SP100	Gene
7329	UBE2I	Gene
54780	NSMCE4A	Gene
1911	PHC1	Gene
6045	RNF2	Gene
1912	PHC2	Gene
6996	TDG	Gene
5371	PML	Gene
57332	CBX8	Gene
8535	CBX4	Gene
7518	XRCC4	Gene
7508	XPC	Gene
286053	NSMCE2	Gene
79677	SMC6	Gene
648	BMI1	Gene
197370	NSMCE1	Gene
80012	PHC3	Gene
84733	CBX2	Gene
6612	SUMO3	Gene
56160	NSMCE3	Gene
6613	SUMO2	Gene
23137	SMC5	Gene
6015	RING1	Gene
493861	EID3	Gene
7703	PCGF2	Gene
2288	FKBP4	Gene
3309	HSPA5	Gene
23411	SIRT1	Gene
6767	ST13	Gene
2765	GML	Gene
27000	DNAJC2	Gene
10049	DNAJB6	Gene
3315	HSPB1	Gene
6013	RLN1	Gene
573	BAG1	Gene
29074	MRPL18	Gene
9532	BAG2	Gene
10808	HSPH1	Gene
3306	HSPA2	Gene
3337	DNAJB1	Gene
116835	HSPA12B	Gene
51501	HIKESHI	Gene
871	SERPINH1	Gene
9531	BAG3	Gene
6782	HSPA13	Gene
9530	BAG4	Gene
57805	CCAR2	Gene
162989	DEDD2	Gene
22824	HSPA4L	Gene
259217	HSPA12A	Gene
9529	BAG5	Gene
7266	DNAJC7	Gene
3316	HSPB2	Gene
3308	HSPA4	Gene
3310	HSPA6	Gene
3297	HSF1	Gene
91582	RPS19BP1	Gene
51182		Gene
1413	CRYBA4	Gene
1288	COL4A6	Gene
3304	HSPA1B	Gene
3303	HSPA1A	Gene
3305	HSPA1L	Gene
10013	HDAC6	Gene
10728	PTGES3	Gene
1915	EEF1A1	Gene
7415	VCP	Gene
3281	HSBP1	Gene
1410	CRYAB	Gene
57521	RPTOR	Gene
26353	HSPB8	Gene
10817	FRS3	Gene
2067	ERCC1	Gene
2072	ERCC4	Gene
79728	PALB2	Gene
10635	RAD51AP1	Gene
51426	POLK	Gene
548593	SLX1A	Gene
23514	SPIDR	Gene
5429	POLH	Gene
348654	GEN1	Gene
79008	SLX1B	Gene
84464	SLX4	Gene
197342	EME2	Gene
51750	RTEL1	Gene
60	ACTB	Gene
7528	YY1	Gene
79913	ACTR5	Gene
29844	TFPT	Gene
50813	COPS7A	Gene
93973	ACTR8	Gene
54891	INO80D	Gene
83444	INO80B	Gene
5887	RAD23B	Gene
10987	COPS5	Gene
54617	INO80	Gene
86	ACTL6A	Gene
51138	COPS4	Gene
8533	COPS3	Gene
64708	COPS7B	Gene
125476	INO80C	Gene
9318	COPS2	Gene
10980	COPS6	Gene
283899	INO80E	Gene
2873	GPS1	Gene
4798	NFRKB	Gene
8607	RUVBL1	Gene
5886	RAD23A	Gene
10445	MCRS1	Gene
10920	COPS8	Gene
9244	CRLF1	Gene
133396	IL31RA	Gene
386653	IL31	Gene
28984	RGCC	Gene
1820	ARID3A	Gene
5325	PLAGL1	Gene
3276	PRMT1	Gene
79733	E2F8	Gene
10498	CARM1	Gene
10769	PLK2	Gene
85456	TNKS1BP1	Gene
55571	CNOT11	Gene
7832	BTG2	Gene
144455	E2F7	Gene
1263	PLK3	Gene
4869	NPM1	Gene
6873	TAF2	Gene
28996	HIPK2	Gene
6882	TAF11	Gene
1459	CSNK2A2	Gene
9891	NUAK1	Gene
8550	MAPKAPK5	Gene
11198	SUPT16H	Gene
1457	CSNK2A1	Gene
54457	TAF7L	Gene
6878	TAF6	Gene
51422	PRKAG2	Gene
5564	PRKAB1	Gene
6908	TBP	Gene
53632	PRKAG3	Gene
6794	STK11	Gene
6883	TAF12	Gene
138474	TAF1L	Gene
8445	DYRK2	Gene
6874	TAF4	Gene
5565	PRKAB2	Gene
5562	PRKAA1	Gene
6875	TAF4B	Gene
6872	TAF1	Gene
6877	TAF5	Gene
6749	SSRP1	Gene
5563	PRKAA2	Gene
204851	HIPK1	Gene
1020	CDK5	Gene
94241	TP53INP1	Gene
83860	TAF3	Gene
6881	TAF10	Gene
112858	TP53RK	Gene
8851	CDK5R1	Gene
6879	TAF7	Gene
5571	PRKAG1	Gene
51616	TAF9B	Gene
26155	NOC2L	Gene
6884	TAF13	Gene
1460	CSNK2B	Gene
8148	TAF15	Gene
6880	TAF9	Gene
30834	ZNRD1	Gene
25885	POLR1A	Gene
54700	RRN3	Gene
9013	TAF1C	Gene
2068	ERCC2	Gene
221830	TWISTNB	Gene
7343	UBTF	Gene
2965	GTF2H1	Gene
2967	GTF2H3	Gene
9014	TAF1B	Gene
10849	CD3EAP	Gene
11335	CBX3	Gene
84172	POLR1B	Gene
64425	POLR1E	Gene
9015	TAF1A	Gene
2966	GTF2H2	Gene
2071	ERCC3	Gene
79101	TAF1D	Gene
9533	POLR1C	Gene
51082	POLR1D	Gene
2968	GTF2H4	Gene
404672	GTF2H5	Gene
55904	KMT2E	Gene
3674	ITGA2B	Gene
10138	YAF2	Gene
57492	ARID1B	Gene
50943	FOXP3	Gene
58508	KMT2C	Gene
5588	PRKCQ	Gene
6602	SMARCD1	Gene
6688	SPI1	Gene
865	CBFB	Gene
6929	TCF3	Gene
6605	SMARCE1	Gene
51412	ACTL6B	Gene
57690	TNRC6C	Gene
83737	ITCH	Gene
6595	SMARCA2	Gene
6604	SMARCD3	Gene
27327	TNRC6A	Gene
26523	AGO1	Gene
9739	SETD1A	Gene
6598	SMARCB1	Gene
23112	TNRC6B	Gene
4773	NFATC2	Gene
10398	MYL9	Gene
2623	GATA1	Gene
7082	TJP1	Gene
2625	GATA3	Gene
6603	SMARCD2	Gene
1998	ELF2	Gene
8850	KAT2B	Gene
5929	RBBP5	Gene
8289	ARID1A	Gene
4297	KMT2A	Gene
4602	MYB	Gene
57678	GPAM	Gene
1997	ELF1	Gene
4778	NFE2	Gene
27161	AGO2	Gene
860	RUNX2	Gene
192669	AGO3	Gene
23309	SIN3B	Gene
6597	SMARCA4	Gene
9070	ASH2L	Gene
3958	LGALS3	Gene
192670	AGO4	Gene
1514	CTSL	Gene
4005	LMO2	Gene
640	BLK	Gene
1515	CTSV	Gene
10413	YAP1	Gene
6601	SMARCC2	Gene
23067	SETD1B	Gene
6938	TCF12	Gene
1513	CTSK	Gene
84870	RSPO3	Gene
4343	MOV10	Gene
26053	AUTS2	Gene
861	RUNX1	Gene
6886	TAL1	Gene
84661	DPY30	Gene
1493	CTLA4	Gene
23429	RYBP	Gene
55193	PBRM1	Gene
4004	LMO1	Gene
8085	KMT2D	Gene
200845	KCTD6	Gene
25942	SIN3A	Gene
6599	SMARCC1	Gene
2624	GATA2	Gene
161882	ZFPM1	Gene
84333	PCGF5	Gene
23466	CBX6	Gene
7122	CLDN5	Gene
2811	GP1BA	Gene
196528	ARID2	Gene
5079	PAX5	Gene
11091	WDR5	Gene
5275	SERPINB13	Gene
100506658	OCLN	Gene
8861	LDB1	Gene
55170	PRMT6	Gene
1378	CR1	Gene
9757	KMT2B	Gene
23028	KDM1A	Gene
5536	PPP5C	Gene
2773	GNAI3	Gene
5590	PRKCZ	Gene
8648	NCOA1	Gene
4313	MMP2	Gene
2289	FKBP5	Gene
4318	MMP9	Gene
7392	USF2	Gene
858	CAV2	Gene
857	CAV1	Gene
23189	KANK1	Gene
6722	SRF	Gene
2771	GNAI2	Gene
1386	ATF2	Gene
1509	CTSD	Gene
8202	NCOA3	Gene
2354	FOSB	Gene
4435	CITED1	Gene
23030	KDM4B	Gene
2770	GNAI1	Gene
3169	FOXA1	Gene
3727	JUND	Gene
4316	MMP7	Gene
2958	GTF2A2	Gene
7090	TLE3	Gene
10499	NCOA2	Gene
5451	POU2F1	Gene
9166	EBAG9	Gene
4314	MMP3	Gene
127933	UHMK1	Gene
55625	ZDHHC7	Gene
1105	CHD1	Gene
7391	USF1	Gene
7033	TFF3	Gene
7031	TFF1	Gene
4846	NOS3	Gene
2957	GTF2A1	Gene
5747	PTK2	Gene
5481	PPID	Gene
51523	CXXC5	Gene
7764	ZNF217	Gene
340481	ZDHHC21	Gene
8877	SPHK1	Gene
8204	NRIP1	Gene
3838	KPNA2	Gene
9687	GREB1	Gene
346562	GNAT3	Gene
56603	CYP26B1	Gene
5166	PDK4	Gene
5164	PDK2	Gene
5165	PDK3	Gene
51109	RDH11	Gene
10170	DHRS9	Gene
1738	DLD	Gene
1592	CYP26A1	Gene
1374	CPT1A	Gene
8050	PDHX	Gene
64577	ALDH8A1	Gene
157506	RDH10	Gene
8854	ALDH1A2	Gene
5160	PDHA1	Gene
5959	RDH5	Gene
8608	RDH16	Gene
1382	CRABP2	Gene
1737	DLAT	Gene
5163	PDK1	Gene
10901	DHRS4	Gene
112724	RDH13	Gene
9249	DHRS3	Gene
5161	PDHA2	Gene
2171	FABP5	Gene
216	ALDH1A1	Gene
1381	CRABP1	Gene
5162	PDHB	Gene
195814	SDR16C5	Gene
220	ALDH1A3	Gene
340665	CYP26C1	Gene
124	ADH1A	Gene
8644	AKR1C3	Gene
127	ADH4	Gene
1375	CPT1B	Gene
57665	RDH14	Gene
126	ADH1C	Gene
3636	INPPL1	Gene
3635	INPP5D	Gene
4800	NFYA	Gene
4802	NFYC	Gene
604	BCL6	Gene
4801	NFYB	Gene
10018	BCL2L11	Gene
65018	PINK1	Gene
10370	CITED2	Gene
1649	DDIT3	Gene
4287	ATXN3	Gene
6720	SREBF1	Gene
56729	RETN	Gene
2645	GCK	Gene
10891	PPARGC1A	Gene
6648	SOD2	Gene
847	CAT	Gene
5105	PCK1	Gene
2538	G6PC	Gene
23410	SIRT3	Gene
3484	IGFBP1	Gene
23460	ABCA6	Gene
114907	FBXO32	Gene
84676	TRIM63	Gene
181	AGRP	Gene
91584	PLXNA4	Gene
7295	TXN	Gene
10628	TXNIP	Gene
694	BTG1	Gene
9314	KLF4	Gene
2660	MSTN	Gene
2290	FOXG1	Gene
4293	MAP3K9	Gene
4294	MAP3K10	Gene
6198	RPS6KB1	Gene
4296	MAP3K11	Gene
11184	MAP4K1	Gene
11183	MAP4K5	Gene
1581	CYP7A1	Gene
8491	MAP4K3	Gene
9064	MAP3K6	Gene
51085	MLXIPL	Gene
1734	DIO2	Gene
1576	CYP3A4	Gene
1978	EIF4EBP1	Gene
6513	SLC2A1	Gene
4216	MAP3K4	Gene
6517	SLC2A4	Gene
2319	FLOT2	Gene
5286	PIK3C2A	Gene
5288	PIK3C2G	Gene
23265	EXOC7	Gene
2203	FBP1	Gene
6009	RHEB	Gene
55908	ANGPTL8	Gene
23433	RHOQ	Gene
5608	MAP2K6	Gene
6416	MAP2K4	Gene
10487	CAP1	Gene
5606	MAP2K3	Gene
7248	TSC1	Gene
2194	FASN	Gene
9020	MAP3K14	Gene
10211	FLOT1	Gene
64241	ABCG8	Gene
64240	ABCG5	Gene
4023	LPL	Gene
5596	MAPK4	Gene
5871	MAP4K2	Gene
5597	MAPK6	Gene
2997	GYS1	Gene
10746	MAP3K2	Gene
50488	MINK1	Gene
6319	SCD	Gene
9322	TRIP10	Gene
53919	SLCO1C1	Gene
9448	MAP4K4	Gene
7786	MAP3K12	Gene
1555	CYP2B6	Gene
6721	SREBF2	Gene
6567	SLC16A2	Gene
5770	PTPN1	Gene
9175	MAP3K13	Gene
1326	MAP3K8	Gene
135458	HUS1B	Gene
9874	TLK1	Gene
2177	FANCD2	Gene
11011	TLK2	Gene
352954	CASTOR3	Gene
11082	ESM1	Gene
9585	KIF20B	Gene
56992	KIF15	Gene
1894	ECT2	Gene
54476	RNF216	Gene
8209	GATD3A	Gene
64094	SMOC2	Gene
6286	S100P	Gene
102724023	GATD3B	Gene
4851	NOTCH1	Gene
7006	TEC	Gene
6591	SNAI2	Gene
6194	RPS6	Gene
6909	TBX2	Gene
4145	MATK	Gene
4137	MAPT	Gene
9306	SOCS6	Gene
695	BTK	Gene
2886	GRB7	Gene
1796	DOK1	Gene
4286	MITF	Gene
6615	SNAI1	Gene
6850	SYK	Gene
406958	MIR182	Gene
192668	CYS1	Gene
7004	TEAD4	Gene
7003	TEAD1	Gene
3683	ITGAL	Gene
7005	TEAD3	Gene
83706	FERMT3	Gene
6788	STK3	Gene
90417	KNSTRN	Gene
10397	NDRG1	Gene
81671	VMP1	Gene
639	PRDM1	Gene
6901	TAZ	Gene
9113	LATS1	Gene
8463	TEAD2	Gene
4485	MST1	Gene
5872	RAB13	Gene
23012	STK38L	Gene
26524	LATS2	Gene
406991	MIR21	Gene
55233	MOB1A	Gene
2533	FYB1	Gene
60485	SAV1	Gene
6098	ROS1	Gene
3091	HIF1A	Gene
7019	TFAM	Gene
10135	NAMPT	Gene
653509	SFTPA1	Gene
5265	SERPINA1	Gene
3162	HMOX1	Gene
1215	CMA1	Gene
4204	MECP2	Gene
4780	NFE2L2	Gene
6440	SFTPC	Gene
7015	TERT	Gene
729238	SFTPA2	Gene
727897	MUC5B	Gene
23250	ATP11A	Gene
10144	FAM13A	Gene
6696	SPP1	Gene
91039	DPP9	Gene
79991	STN1	Gene
1832	DSP	Gene
2006	ELN	Gene
4502	MT2A	Gene
7076	TIMP1	Gene
1490	CCN2	Gene
5806	PTX3	Gene
255520	ELMOD2	Gene
26585	GREM1	Gene
5328	PLAU	Gene
8773	SNAP23	Gene
6236	RRAD	Gene
252983	STXBP4	Gene
10938	EHD1	Gene
3631	INPP4A	Gene
5792	PTPRF	Gene
115703	ARHGAP33	Gene
9882	TBC1D4	Gene
5167	ENPP1	Gene
375	ARF1	Gene
10110	SGK2	Gene
5211	PFKL	Gene
5213	PFKM	Gene
4641	MYO1C	Gene
382	ARF6	Gene
23678	SGK3	Gene
6810	STX4	Gene
6812	STXBP1	Gene
6814	STXBP3	Gene
6813	STXBP2	Gene
5967	REG1A	Gene
9265	CYTH3	Gene
5583	PRKCH	Gene
5584	PRKCI	Gene
57381	RHOJ	Gene
3799	KIF5B	Gene
7494	XBP1	Gene
10580	SORBS1	Gene
2998	GYS2	Gene
2992	GYG1	Gene
5867	RAB4A	Gene
5506	PPP1R3A	Gene
2888	GRB14	Gene
30846	EHD2	Gene
6446	SGK1	Gene
6844	VAMP2	Gene
1958	EGR1	Gene
11127	KIF3A	Gene
3991	LIPE	Gene
6616	SNAP25	Gene
7520	XRCC5	Gene
5976	UPF1	Gene
9937	DCLRE1A	Gene
353497	POLN	Gene
1196	CLK2	Gene
55215	FANCI	Gene
55775	TDP1	Gene
50485	SMARCAL1	Gene
79648	MCPH1	Gene
9521	EEF1E1	Gene
9400	RECQL5	Gene
2175	FANCA	Gene
10155	TRIM28	Gene
55159	RFWD3	Gene
5965	RECQL	Gene
7507	XPA	Gene
10657	KHDRBS1	Gene
3557	IL1RN	Gene
9475	ROCK2	Gene
1073	CFL2	Gene
3840	KPNA4	Gene
6093	ROCK1	Gene
31	ACACA	Gene
32	ACACB	Gene
5966	REL	Gene
6277	S100A6	Gene
79075	DSCC1	Gene
63922	CHTF18	Gene
92140	MTDH	Gene
84823	LMNB2	Gene
29089	UBE2T	Gene
29028	ATAD2	Gene
1299	COL9A3	Gene
27101	CACYBP	Gene
10153	CEBPZ	Gene
3930	LBR	Gene
8926	SNURF	Gene
157769	FAM91A1	Gene
1297	COL9A1	Gene
55299	BRIX1	Gene
255488	RNF144B	Gene
962	CD48	Gene
54921	CHTF8	Gene
51316	PLAC8	Gene
3913	LAMB2	Gene
3914	LAMB3	Gene
3915	LAMC1	Gene
284217	LAMA1	Gene
3918	LAMC2	Gene
3655	ITGA6	Gene
3911	LAMA5	Gene
3912	LAMB1	Gene
3691	ITGB4	Gene
3908	LAMA2	Gene
3909	LAMA3	Gene
23300	ATMIN	Gene
55183	RIF1	Gene
56254	RNF20	Gene
9759	HDAC4	Gene
64421	DCLRE1C	Gene
9810	RNF40	Gene
3150	HMGN1	Gene
5524	PTPA	Gene
5923	RASGRF1	Gene
2539	G6PD	Gene
406982	MIR20A	Gene
693122	MIR421	Gene
406986	MIR203A	Gene
406900	MIR106B	Gene
406980	MIR19B1	Gene
406937	MIR145	Gene
166979	CDC20B	Gene
406950	MIR16-1	Gene
406952	MIR17	Gene
407007	MIR222	Gene
407041	MIR34B	Gene
440603	BCL2L15	Gene
79370	BCL2L14	Gene
23786	BCL2L13	Gene
4170	MCL1	Gene
597	BCL2A1	Gene
599	BCL2L2	Gene
666	BOK	Gene
83596	BCL2L12	Gene
10017	BCL2L10	Gene
9111	NMI	Gene
2185	PTK2B	Gene
7014	TERF2	Gene
79035	NABP2	Gene
5063	PAK3	Gene
5585	PKN1	Gene
4608	MYBPH	Gene
398	ARHGDIG	Gene
85415	RHPN2	Gene
5216	PFN1	Gene
10672	GNA13	Gene
8826	IQGAP1	Gene
6242	RTKN	Gene
7454	WAS	Gene
9138	ARHGEF1	Gene
1072	CFL1	Gene
23191	CYFIP1	Gene
10788	IQGAP2	Gene
57630	SH3RF1	Gene
4632	MYL1	Gene
3984	LIMK1	Gene
8976	WASL	Gene
11113	CIT	Gene
